model,evaluation,fold,n,events,roc_auc,average_precision,brier_score,log_loss,calibration_in_the_large_intercept,calibration_intercept_joint_model,calibration_slope
clinical_five_factor,fold_1,1,71707,1511,0.7821916729027119,0.07124506820397179,0.020095930604406714,0.09083857866610304,,,
clinical_five_factor,fold_2,2,71707,1511,0.7726919131489974,0.06730015564832467,0.020142464574482,0.0916284231478675,,,
clinical_five_factor,fold_3,3,71707,1511,0.782004987528727,0.07345905023871448,0.020063557031476477,0.09069807919817396,,,
clinical_five_factor,fold_4,4,71706,1510,0.7843756403545947,0.07402737016683368,0.02003487494022071,0.09047024089585674,,,
clinical_five_factor,fold_5,5,71706,1510,0.7777330569957572,0.07551398912350281,0.020036494479124575,0.09086523242427287,,,
clinical_five_factor,pooled_oof,0,358533,7553,0.7798036021731877,0.07175982019270435,0.020074664543381585,0.09090011216270484,0.0022692554580942548,-0.02419984489451611,0.9920441347231214
clinical_five_factor_plus_F5_F2,fold_1,1,71707,1511,0.7856714162432736,0.07693298625281726,0.020047372062636466,0.09046265764529307,,,
clinical_five_factor_plus_F5_F2,fold_2,2,71707,1511,0.7770824371159449,0.0695389094048202,0.020121396656407005,0.09127475680327955,,,
clinical_five_factor_plus_F5_F2,fold_3,3,71707,1511,0.7877317718575566,0.07674701745246204,0.020029766082395338,0.09020949408358662,,,
clinical_five_factor_plus_F5_F2,fold_4,4,71706,1510,0.7893202250349918,0.07876230620002009,0.019998895342998667,0.09003360299082216,,,
clinical_five_factor_plus_F5_F2,fold_5,5,71706,1510,0.7821397155136856,0.07711499985388309,0.020020151341489635,0.09052624087487628,,,
clinical_five_factor_plus_F5_F2,pooled_oof,0,358533,7553,0.7843923424730211,0.0751212050683606,0.020043516486807883,0.09050135171476353,0.0011631357410426119,-0.022138288706278247,0.9929603394674618
