model,effect,interval,term,hazard_ratio,ci_95_low,ci_95_high,p_value
five_factor_burden_time_varying,1 clinical factor vs 0,Days 8-90,cox5_1__d8_90,2.6318885891030686,2.2567567265692055,3.069377157005905,5.913780793298441e-35
five_factor_burden_time_varying,1 clinical factor vs 0,Days 91-365,cox5_1__d91_365,2.190281616135996,1.8866839469545595,2.54273301351138,7.123822635179071e-25
five_factor_burden_time_varying,1 clinical factor vs 0,>365 days,cox5_1__gt365,1.6965846004337515,1.5425933804971417,1.8659481771543136,1.3039401332217038e-27
five_factor_burden_time_varying,2+ clinical factors vs 0,Days 8-90,cox5_2plus__d8_90,4.480731976438335,3.8975049328953406,5.151233774003824,1.217721370294438e-98
five_factor_burden_time_varying,2+ clinical factors vs 0,Days 91-365,cox5_2plus__d91_365,4.77657347538392,4.195860904268022,5.437657416749248,1.3490157435057543e-123
five_factor_burden_time_varying,2+ clinical factors vs 0,>365 days,cox5_2plus__gt365,3.0299646437048007,2.782995553522908,3.2988503091496555,4.837855120334812e-144
f5_rs6025_carrier_time_varying,Factor V Leiden,Days 8-90,f5_rs6025_carrier__d8_90,2.0703561058264857,1.7027516674610743,2.517322100952222,2.948037906748077e-13
f5_rs6025_carrier_time_varying,Factor V Leiden,Days 91-365,f5_rs6025_carrier__d91_365,2.1534707493661944,1.7962816652856326,2.5816865795589945,1.1331668878660144e-16
f5_rs6025_carrier_time_varying,Factor V Leiden,>365 days,f5_rs6025_carrier__gt365,2.137048976551425,1.8769802681111503,2.433152018574682,1.848620965745626e-30
f2_rs1799963_carrier_time_varying,Prothrombin G20210A,Days 8-90,f2_rs1799963_carrier__d8_90,1.6251584237595211,1.2350316299647468,2.138520049394946,0.0005258409086794297
f2_rs1799963_carrier_time_varying,Prothrombin G20210A,Days 91-365,f2_rs1799963_carrier__d91_365,1.8551858688554863,1.4549237911200017,2.3655634948079656,6.230687542826482e-07
f2_rs1799963_carrier_time_varying,Prothrombin G20210A,>365 days,f2_rs1799963_carrier__gt365,1.3707349145376244,1.1249676692900235,1.6701939595457593,0.001759695467691048
f5f2_carrier_time_varying,Either F5 or F2,Days 8-90,f5f2_carrier__d8_90,1.9339028214127785,1.6390801515731466,2.2817554828412567,5.480751994260617e-15
f5f2_carrier_time_varying,Either F5 or F2,Days 91-365,f5f2_carrier__d91_365,2.0813443254176165,1.7888142798829436,2.421712667248827,2.4085703380105242e-21
f5f2_carrier_time_varying,Either F5 or F2,>365 days,f5f2_carrier__gt365,1.8436623796818412,1.6467962136200327,2.0640629011297853,2.4509904100309738e-26
