domain,feature_name,concept_id,concept_name,final_disposition,target_feature,final_rationale,definition_source,infection_scope,manual_override_applied_05A,manual_override_applied_05A1,feature_label,status
condition,cancer_history,4112875,Adenocarcinoma in situ of cervix,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,763933,At high risk for breast cancer,EXCLUDE,,Not on the explicit malignant-neoplasm whitelist.,05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,45767622,At risk of breast cancer,EXCLUDE,,Not on the explicit malignant-neoplasm whitelist.,05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,37399589,Basal cell carcinoma of skin in situ,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,40481474,Benign adenomatous neoplasm,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,374882,Benign connective tissue neoplasm,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,37206735,Benign fibromatous neoplasm of skin,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,36684806,Benign lipomatous neoplasm of skin and/or subcutaneous tissue of left upper limb,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,36684805,Benign lipomatous neoplasm of skin and/or subcutaneous tissue of right upper limb,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,442110,Benign neoplasm of accessory sinus,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
