order,component,status,concept_id,concept_name,final_disposition,final_subtype,final_acuity,final_context,final_site_class,rationale
1,Acute/current DVT,Included,43531681,Acute deep vein thrombosis of lower limb,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,44782746,Acute deep venous thrombosis,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,44782751,Acute deep venous thrombosis of axillary vein,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,760875,Acute deep venous thrombosis of bilateral calves,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,762417,Acute deep venous thrombosis of bilateral legs,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,762004,Acute deep venous thrombosis of both upper extremities,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,44782742,Acute deep venous thrombosis of calf,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,44782747,Acute deep venous thrombosis of femoral vein,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,44782752,Acute deep venous thrombosis of internal jugular vein,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,762009,Acute deep venous thrombosis of left axillary vein,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,760876,Acute deep venous thrombosis of left calf,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,765540,Acute deep venous thrombosis of left femoral vein,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
1,Acute/current DVT,Included,762418,Acute deep venous thrombosis of left lower extremity,RETAIN_PRIMARY_ACUTE_CURRENT,DVT,ACUTE_CURRENT,NONE,TYPICAL_OR_UNSPECIFIED,Retained as current primary VTE.
